course_code,course_name,credits,description
CNT-210,CCNA: Networking III,4.00,"This is the third course in a series of four courses in the Cisco Certified Network Associate (CCNA) Certificate of Achievement at HFC. This course focuses on the architectures and considerations related to designing, securing, operating, and troubleshooting enterprise networks. This course covers wide area network (WAN) technologies and quality of service (QoS) mechanisms used for secure remote access. This course also introduces software-defined networking, virtualization, and automation concepts that support the digitalization of networks. Students gain skills to configure and troubleshoot enterprise networks, and learn to identify and protect against cybersecurity threats. They are introduced to network management tools and learn key concepts of software-defined networking, including controller-based architectures and how application programming interfaces (APIs) enable network automation."
CNT-220,CCNA: Networking IV,4.00,"This course is the last in a series of four courses in the Cisco Certified Network Associate (CCNA) Certificate of Achievement at HFC and focuses on Network Security. This course equips students with the knowledge and skills needed to prepare for entry-level security specialist careers. This course is a hands-on, career-oriented e-learning solution that emphasizes practical experience. It is a blended curriculum with both online and classroom learning. This course aims to develop an in-depth understanding of network security principles as well as the tools and configurations required to secure a network."
CNT-260,Network Security,4.00,"Introduces network security. Emphasizes security terminology and concepts, network security design, security threats and vulnerabilities, security assessment tools and techniques, application, host, and data security, access control concepts and implementation, risk management and business continuity, and basic cryptography through laboratory exercises and detailed lectures. Course topics typically help students prepare for the CompTIA Security+ certification exam. NOTE: This exam is not included in this course.  Industry certification exams are administered by an independent testing agency."
COLL-101,College Success,3.00,"Intended for students seeking to maximize their college experience; students will discover ways to achieve academic success by learning how to navigate a diverse campus environment.  An emphasis will be given to using academic support systems, thinking critically with career decision-making, program planning, time management, and college financing, together with implementing success motivators, study habits, and testing strategies.  Students will create action plans that will help them focus on achieving academic and career success."
COLL-103,College Reconnect,1.00,"This course is specifically designed to help Adult Students transition to college and achieve academic and career success. As an Adult Learner you will learn how to navigate coming back to a college environment, familiarize yourself with online education, manage time, maximize your learning, discover ways to stay motivated, think critically, take tests and develop a career/academic  plan. Being successful in these areas is the goal of this course."
COMM-151,Introduction to Social Media,3.00,"Introduces students to different social media platforms and how they are used by people and organizations.  Students will critically examine various social media forms in the context of society. Students will be exposed to the rules of ethical communication, create a basic social media communication plan, and gain basic understanding of social media analytics."
COMM-190,Co-op in Communications,1.00,"Student will submit a formal request in writing to the faculty and Associate Dean for work experience to be considered for Credit for Prior College-Level Learning. The student will complete an interview, a reflective paper, or a presentation to the faculty in which the student develops and describes the learning objectives supported by the work experience, how those learning objectives were achieved and how that learning was put into practice. Finally, the student must also provide a portfolio (or something comparable) that shows the work completed, and provide some form of documentation confirming the work experience (a resume does not suffice) for which Credit for Prior College-Level Learning is requested."
COMM-290,Co-op in Communications,2.00,"Cooperative education is a structured method of combining classroom-based education with practical work experience. A cooperative education experience, commonly known as a “co-op,” provides academic credit for structured employment experience. Work experience must be directly related to the student’s declared major to be eligible. To register for this course, a student must have completed 50% of core coursework, maintain an overall GPA of 2.0 and a program specific GPA of 2.5."
COUN-110,Human Potential Seminar,2.00,"Examines how to identify and apply positive life skills in order for each individual to discover and any use their strengths, talents and abilities. Covers empathy, peak experiences, internal and external motivational factors, goal setting and values clarification."
COUN-111,Advanced Human Potential Seminar,2.00,"Use the group process and the tools developed in COUN 110 to further develop life skills that enable each individual to discover his or her potential, and to deal more effectively and efficiently with conflicts, blocks, failures, and life-style problems."
COUN-114,Stress Management - A Personal Approach,2.00,"Offers a supportive group setting for students to examine their own personal sources of stress, how these stress factors are affecting them and what they can do to develop more effective coping strategies."
COUN-115,Assertiveness Training,1.00,"Examines how to improve communication and behavior. Also discusses how to differentiate between assertiveness, passiveness, and aggressiveness."
COUN-116,Assertiveness in Daily Living,1.00,"An advanced course in assertiveness focusing on communication problems with parents, siblings, friends, relatives and strangers, including specific assertive strategies of successful communication with difficult people. Emphasizes how to refuse a request, ask for a favor, respond to criticism and manage one’s anger."
COUN-118,Assertiveness at Work,1.00,"Discusses how to get the most out of one’s work environment. Covers how to apply for a job, ask for a raise and negotiate salary. Examines how to apply assertiveness training techniques to handle both criticism from colleagues and a performance review from a supervisor."
COUN-119,Issues in Personal Growth,2.00,"Examines how to identify barriers to personal growth and how to overcome those barriers to find friendship, love and happiness."
COUN-120,Career Exploration,1.00,"Examines how to perform a career assessment, create a genogram,and research potential career opportunities."
COUN-125,Life Work Planning,3.00,"Examines and analyzes one’s own resources, strengths and constraints to determine what is realistic for future change. Covers decision-making tools which can be utilized for effective planning resulting in alignment between one’s life and work goals. Potential challenges are examined through problem-solving techniques."
COUN-127,Job Interview Counseling,1.00,"Offers successful strategies to fight job interview anxiety. Presents creative measures to secure an interview, how to dress appropriately for the interview, how to field questions, what to ask the interviewer and post-interview follow-up. Resume required."
COUN-128,Active Parenting,2.00,"Explores how to apply the basic principles of active parenting to both children and teens. Also discusses topics such as, but not limited to: how to parent children at different developmental states, the development of a child’s ethnic identity, effective punishment strategies, challenges faced by working parents, step-families and communication patterns."
COUN-129,Personality Type and Success,2.00,"Covers personality theory/personality type, how to utilize the Myers-Briggs Type Indicator (MBTI) to develop a greater understanding and appreciation of self and others, and how to manage one’s personality and accept the personality of others as it relates to relationships, employment, education, communication, lifestyle, and decision-making."
CRJ-126,Introduction to Homeland Security,3.00,"Provides students with a comprehensive overview of Homeland Security policies, practices, and programs. Also discusses local, state, and federal initiatives, as well as the restructuring of the Department of Homeland Security."
CRJ-131,Introduction to Law Enforcement and Criminal Justice,3.00,"An overview of the criminal justice system in the U.S. Topics covered are: the history of law enforcement: the political, sociological, and philosophic, and background of police functions; and the criminal courts. Constitutional problems as they relate to the police function are surveyed, and the use of recent technology in criminal justice is discussed."
CRJ-132,Police Administration – Staff and Line Operations,3.00,"Focuses on uniformed police operations, both patrol and traffic, as well as principles of organization, management, planning, and crime prevention."
CRJ-134,Criminal Investigation,3.00,"Introduces criminal investigation and the techniques of forensic science. Topics include information accumulation, specific crimes, and preparation for purposes of prosecution."
CRJ-135,Juvenile Justice,3.00,Covers the legal and philosophical basis of the juvenile justice process along with a review of the juvenile court procedures in Michigan. Discusses problems related to delinquency and its control.
CRJ-136,Introduction to Corrections,3.00,"Explores the history and philosophy of corrections. Covers probation, parole, and the impact of prisoner rights law on the system as a whole."
CRJ-138,Probation and Parole,3.00,"Covers treatment of convicted law violators by correctional field services before and after prison, analysis of the role of probation and parole officers, and evaluation of community resources applied to the correctional task."
CRJ-140,Identity Theft: Prevention and Awareness,3.00,"Provides an overview of the identity theft problem in America. Includes current statistics from around the nation, profiles of specific cases, various prevention techniques, and steps to take if victimized."
CRJ-234,Criminalistics: Criminal Investigation Laboratory Techniques,3.00,"Offers laboratory experience in the fundamentals of investigation, including fingerprinting techniques and the examination of hair, fiber, glass, firearms, and tool marks."
CRJ-251,Criminal Law,4.00,A study of the basic elements of criminal law with particular emphasis on definitions of Michigan crimes.
CRJ-252,Criminal Procedure,4.00,"Expands on the concepts presented in CRJ 251, emphasizing criminal procedure, including the laws of arrest and search and seizure, the rights of the accused; and the roles of the prosecutor, judge, jury and defense counsel in the judicial process. Also discusses both Michigan and federal constitutional issues."
CRJ-285,Topics in Criminal Justice/Law Enforcement,3.00,An exit course covering a series of critical issues facing law enforcement personnel. Examines the diverse roles of the public police and how to achieve effective community policing.
CRJ-287,Police Academy,21.00,"Designed to prepare recruits in the proper techniques of investigation, crime scene process, patrol procedures, operations and techniques. Emphasis will be placed on conflict mediation, report writing, detention and prosecution of prisoners. First aid, investigations, evidence collection, disaster control, civil disorders and tactical operations will be covered in the course. (40 hrs. minimum weekly)"
CRJ-291,Criminal Justice Internship 1,3.00,"This is an internship program that provides the student with field experience with municipal, county, state, and local criminal justice agencies and related agencies in the private sector. This includes but is not limited to: District, Circuit, and Juvenile Courts, halfway houses, detention centers, local, county and state police agencies, the FBI, U.S Marshall Service, Drug Enforcement Agency and Homeland Security. The internship is available to students in both the Probation/Corrections and Parole and the Criminal Justice programs. Students will perform all of the duties of professionals in the given area at the staff level. Students will not have arrest authority or be authorized to carry guns but may accompany a ride along, shadow criminal justice personnel, work in crime labs, interview probation clients, and perform other administrative work. Students will receive hands on experience in their chosen field working alongside with and performing the duties of criminal justice professionals. The internship requires a minimum of 9 hours of work each week off campus at a criminal justice site. Students are also required to meet on campus with the HFC faculty member on a weekly basis by arrangement. This class can only be taken once."
CRJ-292,Criminal Justice Internship 2,3.00,"This is a continuation of the internship started inCRJ-291and can only be taken as part of a year-long internship. Students will continue to gain field experience with municipal, county, state, and local criminal justice agencies and related agencies in the private sector. This includes but is not limited to: District, Circuit, and Juvenile Courts, halfway houses, detention centers, local, county and state police agencies, the FBI, U.S Marshall Service, Drug Enforcement Agency and Homeland Security. The internship is available to students in both the Probation/Corrections and Parole and the Criminal Justice programs. Students will perform all of the duties of professionals in the given area at the staff level. Students will not have arrest authority or be authorized to carry firearms but may accompany a ride along, shadow criminal justice personnel, work in crime labs, interview probation clients, and perform other administrative work. Students will receive hands on experience in their chosen field working alongside with and performing the duties of criminal justice professionals. The internship requires a minimum of 9 hours of work each week off campus at a criminal justice site. Students are also required to meet on campus with the HFC faculty member on a weekly basis by arrangement. This class can only be taken once."
DNCA-121,Beginning Tap,2.00,"Introduces the basic rhythms, steps, and simple combinations of tap, a dance form derived from a combination of syncopated African rhythms, Irish clogging, and folk dance. First class meeting discusses proper footwear."
DNCA-131,Beginning Latin and Ballroom Dance,2.00,"Provides the basics of ballroom in the American and International styles in a group setting. Students will be able to recognize and execute basics of American Smooth and International Standard styles of Waltz, Foxtrot, Cha Cha, Rumba and East Coast Swing. Technique, rhythms and leading and following are studied and practiced."
DNCA-132,Intermediate Latin and Ballroom Dance,2.00,"Continues dances learned in DNCA 131 with more complex patterns. Basics of three Latin dances, Mambo, Bolero and Jive, and two Ballroom dances, Tango and Viennese Waltz, are added. Technique, rhythm, leading and following are studied and practiced."
DNCA-133,Advanced Latin and Ballroom Dance,2.00,"Continues the study and practice of dances learned in DNC 132 with more complex patterns with a partner. Basics of Latin dances, Paso Doble and Samba; and a Ballroom dance, Quickstep, are added. Rhythm, technique, and leading and following are studied and practiced."
DNCA-141,Beginning Ballet,2.00,"Introduces ballet movement and ballet movement vocabulary in French. Fundamental barre exercises are learned through the identification, execution, and understanding of their purpose. Students will learn technique at the barre, at the centre, and through the dance space."
DNCA-1421,Intermediate Ballet,2.00,"Provides students with continued applied study of ballet technique based on skill level, supplemented by instruction in ballet history, current choreographers and companies, terminology and classical dance principles. The course provides students with the opportunity to explore multiple aspects of this traditional and foundational dance art. Learning activities include physical practice, observation, discussion, reading and writing to cultivate kinesthetic, aesthetic, and intellectual understanding of ballet. Classroom physical practice will focus on anatomically correct body alignment, placement, and turn-out, musicality, strength, stamina, and flexibility. Care of the body and conditioning for dance is also emphasized. The ballet work for Intermediate Ballet I is suitable for students starting to work on their intermediate ballet knowledge and skill set. Intermediate Ballet II and III provides an opportunity for students to continue the development of their ballet movement and expression skills. Student’s will continue their academic growth through immersion in history, choreography, terminology and dance principles."
DNCA-1422,Intermediate Ballet II,2.00,"This is the second of three skill-based two-credit courses where students continue the applied study of ballet technique based on skill level, supplemented by instruction in ballet history, current choreographers and companies, terminology and classical dance principles. The course provides students with the opportunity to explore multiple aspects of this traditional and foundational dance art. Learning activities include physical practice, observation, discussion, reading and writing to cultivate kinesthetic, aesthetic, and intellectual understanding of ballet. Classroom physical practice will focus on anatomically correct body alignment, placement, and turn-out, musicality, strength, stamina, and flexibility. Care of the body and conditioning for dance is also emphasized."
DNCA-1423,Intermediate Ballet III,2.00,"This is the third of three skill-based two-credit courses where students continue the applied study of ballet technique based on skill level, supplemented by instruction in ballet history, current choreographers and companies, terminology and classical dance principles. The course provides students with the opportunity to explore multiple aspects of this traditional and foundational dance art. Learning activities include physical practice, observation, discussion, reading and writing to cultivate kinesthetic, aesthetic, and intellectual understanding of ballet. Classroom physical practice will focus on anatomically correct body alignment, placement, and turn-out, musicality, strength, stamina, and flexibility. Care of the body and conditioning for dance is also emphasized."
DNCA-142,Intermediate Ballet,2.00,"Continues the study of ballet via an expanded and more challenging movement vocabulary. More complex combinations at the barre, at the centre and through the dance space are explored. Skill is also acquired through the understanding of skeletal-muscular anatomy and function involved in dance. Care of the body and conditioning for dance is emphasized."
DNCA-143,Advanced Ballet,2.00,"Presents advanced-level ballet concepts via more complex and challenging adagio and allegro combinations, as well as excerpts from the classical ballet repertory. Also covers career opportunities in dance, and examines an abbreviated historical perspective of the classical excerpts offered."
DNCA-151,Beginning Modern Dance,2.00,"Explores Modern Dance as an art form that has a limitless way to express oneself in human movement. Primary emphasis is on developing technique of the basic Modern movement vocabulary. Course also covers skeletal muscular anatomy and function as it applies to dance movement, and an introduction to improvisation and composition."
DNCA-1521,Intermediate Modern Dance I,2.00,"Provides students with continued applied study of modern dance technique based on skill level, supplemented by instruction in modern dance history, current choreographers and companies, terminology and the principles of time, space, and energy. The course provides students the opportunity to explore multiple aspects of modern dance. Learning activities physical practice, observation, discussion, reading and writing to cultivate a kinesthetic, aesthetic, and intellectual understanding of modern dance. Classroom physical practice will focus on anatomically correct body alignment, awareness of the body in space, musicality, strength, stamina, and flexibility. Care of the body and conditioning for dance is also emphasized. The modern dance work for Intermediate Modern Dance I is suitable for students starting to work on their intermediate modern dance knowledge and skill set. Intermediate Modern Dance II and III provides an opportunity for students to continue the development of their modern dance movement and expression skills. Student’s will continue their academic growth through immersion in history, choreography, terminology and dance principles."
DNCA-1522,Intermediate Modern Dance II,2.00,"This is the second of three skill-based two-credit courses where students continue the applied study of modern dance technique based on skill level, supplemented by instruction in modern dance history, current choreographers and companies, terminology and the principles of time, space, and energy. The course provides students with the opportunity to explore multiple aspects of modern dance. Learning activities include physical practice, observation, discussion, reading and writing to cultivate kinesthetic, aesthetic, and intellectual understanding of modern dance. Classroom physical practice will focus on anatomically correct body alignment, awareness of the body in space, musicality, strength, stamina, and flexibility. Care of the body and conditioning for dance is also emphasized."
DNCA-1523,Intermediate Modern Dance III,2.00,"This is the third of three skill-based two-credit courses where students continue the applied study of modern dance technique based on skill level, supplemented by instruction in modern dance history, current choreographers and companies, terminology and the principles of time, space, and energy. The course provides students with the opportunity to explore multiple aspects of modern dance. Learning activities include physical practice, observation, discussion, reading and writing to cultivate kinesthetic, aesthetic, and intellectual understanding of modern dance. Classroom physical practice will focus on anatomically correct body alignment, awareness of the body in space, musicality, strength, stamina, and flexibility. Care of the body and conditioning for dance is also emphasized."
DNCA-152,Intermediate Modern Dance,2.00,Further explores Modern Dance as an art form that offers a limitless way to express oneself in human movement. Primary emphasis is on building beyond basic Modern movement vocabulary to more complex phrases in the center and through the dance space.
DNCA-153,Advanced Modern Dance,3.00,Explores the finer points of Modern Dance. Primary emphasis is on performing advanced movement phrases along with the study and practice of specific Modern Dance techniques. Course also supports the development of choreographic skill and stage presence.
DNCA-161,Beginning Jazz Dance,2.00,"Explores theatre style jazz dance. Primary emphasis is on developing knowledge of and experience in basic jazz movement vocabulary and technique accompanied by jazz and popular music. Course also includes study of music rhythms, a brief history of jazz, and the body instrument from an anatomical perspective."
DNCA-162,Intermediate Jazz Dance,2.00,"Further explores the characteristic movements of jazz dance via the use of more intricate footwork, movement phases, and combinations than those performed in basic jazz dance."
DNCA-163,Advanced Jazz Dance,2.00,"Emphasizes advanced rhythmic complexity and movement combinations, in depth practice of specific styles of Jazz dance, and proper body conditioning for the dancer. Also offers an overview of careers in dance and an introduction to choreography."
DNCA-171,Beginning Hip Hop Dance,2.00,"Exploration of Hip Hop Dance as an art form that offers a limitless way to express oneself in human movement. Primary emphasis is on developing skills and techniques of the basic Hip Hop movement vocabulary supplemented by instruction in Hip Hop dance history, terminology and the principles of time, space, and energy.  Classroom physical practice will focus on anatomically correct body alignment, awareness of the body in space, musicality, strength, stamina, and flexibility. Care of the body and conditioning for dance is also emphasized. Students will be evaluated during the first week of class to determine if they should place into DNCA-1721 rather than DNCA-171 as this is an introductory class intended for those with no formal Hip Hop dance experience."
DNCA-1721,Intermediate Hip Hop Dance I,2.00,"Provides students with continued applied study of Hip Hop dance technique based on skill level, supplemented by instruction in Hip Hop dance history, current choreographers and companies, terminology and the principles of time, space, and energy. The course provides students the opportunity to begin to explore multiple aspects of Hip Hop dance. Learning activities include physical practice, observation, discussion, reading and writing to cultivate a kinesthetic, aesthetic, and intellectual understanding of Hip Hop dance. Classroom physical practice will focus on anatomically correct body alignment, awareness of the body in space, musicality, strength, stamina, and flexibility. Care of the body and conditioning for dance is also emphasized. The Hip Hop dance work for Intermediate Hip Hop Dance I is suitable for students starting to work on their intermediate hip hop dance knowledge and skill set. Intermediate Hip Hop Dance II and III provide an opportunity for students to continue the development of their Hip Hop dance movement and expression skills. Student’s will continue their academic growth through immersion in history, choreography, terminology and dance principles."
DNCA-1722,Intermediate Hip Hop Dance II,2.00,"This is the second of three skill-based two-credit courses where students continue the applied study of Hip Hop dance technique based on skill level, supplemented by instruction in Hip Hop dance history, current choreographers and companies, terminology and the principles of time, space, and energy. The course provides students with the opportunity to explore multiple aspects of Hip Hop dance. Learning activities include physical practice, observation, discussion, reading and/or writing to cultivate kinesthetic, aesthetic, and intellectual understanding of Hip Hop dance. Classroom physical practice will focus on anatomically correct body alignment, awareness of the body in space, musicality, strength, stamina, and flexibility. Care of the body and conditioning for dance is also emphasized."
DNCA-1723,Intermediate Hip Hop Dance III,2.00,"This is the third of three skill-based two-credit courses where students continue the applied study of Hip Hop dance technique based on skill level, supplemented by instruction in Hip Hop dance history, current choreographers and companies, terminology and the principles of time, space, and energy. The course provides students with the opportunity to explore multiple aspects of Hip Hop dance. Learning activities include physical practice, observation, discussion, reading and writing to cultivate kinesthetic, aesthetic, and intellectual understanding of Hip Hop dance. Classroom physical practice will focus on anatomically correct body alignment, awareness of the body in space, musicality, strength, stamina, and flexibility. Care of the body and conditioning for dance is also emphasized"
DNCA-221,College Dance Company I,3.00,"This is the first of four semesters of College Dance Company, providing opportunities to perform in a wide variety of genres and venues with different choreographers. Dance forms performed include, but are not limited to, classical, modern, jazz, tap, ballroom and Latin. In addition, HFC Full Circle Dance Company students have an opportunity to attend dance festivals, master classes, professional dance company concerts, and to have their choreography presented. Two or more performances of a final concert are scheduled on campus as well as other performances, both on and off campus. This course is open to college students and high school juniors and seniors by audition and interview. New dance students may audition in one of several scheduled group auditions or may schedule an individual audition with the director. A strong dance background is required."
DNCA-222,College Dance Company II,3.00,"This is the second of four semesters of College Dance Company, providing opportunities to perform in a wide variety of genres and venues with different choreographers. Dance forms performed include, but are not limited to, classical, modern, jazz, tap, ballroom and Latin. In addition, HFC Full Circle Dance Company students have an opportunity to attend dance festivals, master classes, professional dance company concerts, and to have their choreography presented. Two or more performances of a final concert are scheduled on campus as well as other performances, both on and off campus. This course is open to college students and high school juniors and seniors by audition and interview. New dance students may audition in one of several scheduled group auditions or may schedule an individual audition with the director. A strong dance background is required."
DNCA-223,College Dance Company III,3.00,"This is the third of four semesters of College Dance Company, providing opportunities to perform in a wide variety of genres and venues with different choreographers. Dance forms performed include, but are not limited to, classical, modern, jazz, tap, ballroom and Latin. In addition, HFC Full Circle Dance Company students have an opportunity to attend dance festivals, master classes, professional dance company concerts, and to have their choreography presented. Two or more performances of a final concert are scheduled on campus as well as other performances, both on and off campus. This course is open to college students and high school juniors and seniors by audition and interview. New dance students may audition in one of several scheduled group auditions or may schedule an individual audition with the director. A strong dance background is required."
DNCA-224,College Dance Company IV,3.00,"This is the fourth of four semesters of College Dance Company, providing opportunities to perform in a wide variety of genres and venues with different choreographers. Dance forms performed include, but are not limited to, classical, modern, jazz, tap, ballroom and Latin. In addition, HFC Full Circle Dance Company students have an opportunity to attend dance festivals, master classes, professional dance company concerts, and to have their choreography presented. Two or more performances of a final concert are scheduled on campus as well as other performances, both on and off campus. This course is open to college students and high school juniors and seniors by audition and interview. New dance students may audition in one of several scheduled group auditions or may schedule an individual audition with the director. A strong dance background is required."
DNCA-230,Beginning Choreography,3.00,"Provides opportunities to use individual creativity through the composition of dance movement. Discover and practice manipulating movement using the dance elements of time, space, and energy to create and build a dance. Movement will mainly be composed for solo pieces."
DNCA-253,Advanced Modern Dance,2.00,Explores advanced modern dance. Primary emphasis is on performing advanced movement phrases and on developing choreographic skill and stage presence.
DRAF-110,Introduction to Industrial Drafting,3.00,"Introduces the use of drafting instruments, lettering technique, geometric construction, orthographic projection, pictorial drawing, basic dimensioning for manufacturing, sectioning, auxiliaries, an introduction to assembly drawings, print reading, and interpretation of drawings."
DRAF-120,Introduction to CAD,4.00,"Introduces Computer-Aided Drafting (CAD) techniques. Topics include: general computer operations, basic file management procedures, basic three-dimensional (3-D) solid modeling techniques, preparation of sketches for modeling, creating orthographic drawings, auxiliaries, sectioning, application of dimensions techniques, and assembly."
DRAF-122,SolidWorks Level I - Introduction,2.00,"Introduces SolidWorks and its functionality including the creation of a rough sketch of geometry and how to correctly define it. Explores how to set up drawing units, modify dimensions on a sketch, and complete a 3-dimensional (3D) solid model. Also covers features of SolidWorks including orthographic views and basic file management procedures."
DRAF-123,Introduction to CATIA V5,2.00,"Introduces the basics of CATIA V5 and its functionality. Utilizes the part design, sketcher, drafting, and assembly design workbenches to make models that are properly constructed and constrained. Coursework explores how CATIA’s tools and toolbars are used in these workbenches."
DRAF-124,SolidWorks Level II - Advanced,2.00,"Focuses on applying orthographic principles to mechanical drawings, using the SolidWorks software program.  Provides instruction on how to develop section views, auxiliary views, and isometric projections; how to lay out detailed drawings, including advanced assembly procedures and manipulation of assembly components; and how to apply dimensions for manufacturing to orthographic views."
DRAF-125,CATIA V5 Level II,2.00,"Builds on the CATIA V5 concepts introduced in DRAF 123. Expands upon some workbenches demonstrated in the previous course and others will be introduced. Topics include: advanced part design, advanced assemblies, kinematics simulations, the use of the specification tree, creating design tables, and using component catalogs."
DRAF-126,SolidWorks Level III - Applications,2.00,"An advanced industrial applications course utilizing 3-dimensional (3D) advanced construction tools. Focuses on how to apply key concepts from prior SolidWorks courses to real-world industrial projects.  Also examines how to create, edit, and export bills of materials; apply assembly modeling procedures; create exploded views; edit components in an assembly; add and constrain mates; utilize simulation Xpress tool; and perform basic motion analysis."
DRAF-127,CATIA V5 Level III,2.00,"Explores the use of the drafting workbench and surfacing. Covers the application of dimensions and tolerances, and the creation of advanced views. Instruction in surfacing includes extruding and the creation of simple and complex surfaces in the generative shape design workbench."
DRAF-130,Technical Descriptive Geometry,3.00,"Covers advanced projection techniques. Utilizes auxiliary views to manipulate geometry and define relationships between points, lines, surfaces, and solids. Also covers revolution, intersections, solids, and developments."
DRAF-131,UG NX Level 1 - Introduction,2.00,"Introduces the basics of UG NX and its functionality. Utilizes modeling, sketch creation, drafting, and assembly task environments to create and edit models that are properly constructed and constrained."
DRAF-132,UG NX Level II - Intermediate,2.00,"Builds on UG NX concepts introduced inDRAF-131. Explores different task environments. Topics include part families, expressions, assembly simulation, animation, and functional application of dimensions in drafting techniques for manufacturing."
DRAF-133,UG NX Level III - Advanced,2.00,"Builds on concepts presented inDRAF-132. Explores advanced techniques and topics, including manipulating, analyzing components, and creating new parts within existing assemblies as well as basic surfacing techniques."
DRAF-134,UG NX Level IV - Applications,2.00,"An advanced-level industrial applications course that examines how to create 3-dimensional (3D) wireframe geometry, develop 3D models using surfacing functions, construct complex surfaces, create and operate kinematic simulations, and operate assembly simulations."
DRAF-142,Industrial Detailing,4.00,"Explores the making of working drawings using proper dimensioning techniques. Showing necessary views, placement of dimensions, use of different dimensioning styles, and calculation of tolerances are the basis of instruction. The function and relationship of mating parts in an assembly are considered when dimensioning to insure proper fit and function. Threads, fasteners, and common manufacturing operations are applied and dimensioned. Standard and commercial parts are selected from catalogs. Setup and application of CAD dimensioning styles and tolerances are utilized."
DRAF-210,Die Design,3.00,"Focuses on advanced drawing techniques in the layout and design of production press work dies. Typical dies covered are blank, cam pierce, form, cutoff, draw, and progressive. Press computations and accessories are put in perspective as they relate to design problems. Drawing assignments are done extensively on CAD."
DRAF-220,Machine Element Drafting,2.00,"Focuses on the study of mechanisms, their motion, and related skeletal construction. Calculations are made to determine size and capacity requirements in the design of machine elements. Industrial techniques are applied to detail drawing of various machine parts. Drawing assignments are done extensively on CAD."
DRAF-230,"Jigs, Fixtures, and Tools",3.00,"Covers advanced techniques in design, layout, and detail of production tooling. Consideration is given to locating, clamping, and tolerancing a jig and fixture for the manufacture of an industrial part. Standard parts catalogs and library reference materials are used to provide guidance in solving design problems. Drawing assignments are done extensively on CAD."
DRAF-240,Product Drawing,2.00,"Examines the demands of product drafting. The design process is applied in the development of a product with consideration given to its function, fix, aesthetics, ergonomics, and its ability to be economically manufactured. Drawing assignments are done extensively on CAD."
DRAF-255,Advanced Techniques,4.00,"Examines the use of Computer-aided design (CAD) in advanced operations of making three-dimensional models. Solids analysis and the manipulation of geometry is explored utilizing current CAD software. Concepts of parametric modeling, drafting principles are reviewed and developed as they relate to solid model geometry."
DRAF-260,Advanced CAD Applications Solid Modeling,4.00,"Covers three-dimensional, feature-based parametric solid CAD. Students create complex three-dimensional parametric models and then generate two-dimensional views from those CAD models. Single parts and assemblies are developed, constrained, and manipulated in the modeling process."
DRAF-297,Special Topics in Industrial Drafting Technology,1.00,"Designed to explore selected topics as determined by the academic department and the instructor with emphasis on current drafting technology trends. The specific special topic will be announced together with the prerequisites each term. Students can repeat the course when different topics are offered, earning credit for each different topic."
DRAF-298,Special Topics in Industrial Drafting Technology,2.00,"Designed to explore selected topics as determined by the academic department and the instructor with emphasis on current drafting technology trends. The specific special topic will be announced together with the prerequisites each term. Students can repeat the course when different topics are offered, earning credit for each different topic."
EDU-250,Humanities and Performing Arts for Educators,3.00,"This course studies the aspects of human society and culture through an education lens.  This course prepares the student majoring in education to incorporate the various visual and performing arts from multiple humanities into everyday education curricula. The course will cover the fundamental and formal elements, the major periods, styles and philosophies, as well as the functions and processes of the humanities and visual and performing arts. This course provides the educator with knowledge on how to effectively employ those creative processes through collaboration, communication, cooperation, and interaction within the classroom. This is an interactive course where the instructor, guest speakers, and students present topics. Knowledge will be applied through small and large group discussions and projects. Students participation requires completion of projects/assignments both during and outside of class. At least one humanities/fine arts field trip will be planned as an integral part of the course."
EDU-256,Educational Psychology,3.00,"Applies the principles and theories of educational psychology to teaching and learning in diverse school settings.  Topics address all domains of learning and cognition. Theoretical examination includes the academic development of children socially, emotionally, cognitively, and physically. This course also includes the following content areas: special education, multicultural educational programs, principles and teaching methodologies, managing classroom discipline, motivating students to learn, leading classroom instruction, and assessing K-12 differences in students’ learning."
EDU-260,History in Elementary Schools,3.00,"Explores topics in history taught in grades K-8 and prepares students to teach these topics. This course presents a survey of Michigan and American history through Reconstruction, as well as early world history. Core course topics may include but not be limited to the following:  social studies in grades K-8, Grade Level Content Expectations, using primary and secondary resources, connecting self to the local community, Michigan history and government, American history and government – early settlers through Reconstruction, the purpose, structure and function of government, core democratic values, early Western hemisphere history, and early Eastern hemisphere history."
EDU-295,Exceptional Children in Early Childhood,3.00,"Prepares early childhood professionals to teach young children with exceptional needs as well as collaborate with their families in an early childhood classroom or community based special education environment. Provides an overview of special education history, theory, models and laws pertaining to young children.  This course includes the different exceptional needs young children may have as well as behavioral techniques designed to address them.  Disabilities reviewed in this course will include but are not limited to developmental delay, autism, visual, hearing, and physical impairment, cerebral palsy, spina bifida, muscular dystrophy, spinal cord injury, and Down syndrome. This course provides the learner with an understanding of inclusion, community integration, and family/professional collaboration."
EDU-296,Exceptional Child,3.00,"Focuses on the characteristics, identification, assessment, and instruction of students with exceptionalities. Explores special education children’s syndromes and their learning environments. Covers how to provide free and appropriate academic services to children with exceptionalities. Includes the theories, laws, and procedures surrounding special education. Course topics also include specific learning disabilities, autism, mild and severe behavior disorders, emotional impairment, intellectual disability, visual and hearing impairments, speech impairment, giftedness, physical impairments and chronic medical conditions. Additional discussions revolve around different special education learning environments such as inclusion, mainstreaming, pullout programs, resource rooms, co-teaching environments, and the self-contained classroom."
