"Course Subject Code","Course Number","Course Title","Credits - Credit Hours - Credit Hours Min","Credits - Credit Hours - Credit Hours Max","Credits - Credit Hours - Credit Hours Value","Credits - Credit Hours - Credit Hours Operator","Credits - Contact Hours - Contact Hours Min","Credits - Contact Hours - Contact Hours Max","Credits - Contact Hours - Contact Hours Value","Credits - Contact Hours - Contact Hours Operator","Credits - Billing Hours - Billing Hours Min","Credits - Billing Hours - Billing Hours Max","Credits - Billing Hours - Billing Hours Value","Credits - Billing Hours - Billing Hours Operator","Credits - Lecture Hours - Lecture Hours Min","Credits - Lecture Hours - Lecture Hours Max","Credits - Lecture Hours - Lecture Hours Value","Credits - Lecture Hours - Lecture Hours Operator","Credits - Lab Hours - Lab Hours Min","Credits - Lab Hours - Lab Hours Max","Credits - Lab Hours - Lab Hours Value","Credits - Lab Hours - Lab Hours Operator","Credits - Other Hours - Other Hours Min","Credits - Other Hours - Other Hours Max","Credits - Other Hours - Other Hours Value","Credits - Other Hours - Other Hours Operator","Credits - Course Count","Credits - Repeatable","Credits - Number Of Repeats","Credits - Number Of Credits","Course Description"
"MUSI","101","CONCERT CHOIR","2","-","-","-","4","-","-","-","4","-","-","-","0","-","-","-","4","-","-","-","-","-","-","-","-","-","-","-","101  CONCERT CHOIR   2 (0-4)

Varied range of sacred and secular music for purpose of study and performance.  Choir performs in regular concerts each semester.  Opportunity for small ensemble participation.  

Prerequisites: Audition required; contact Visual and Performing Arts Department Chair.

NOTE: May be repeated for credit, up to 8 credit hours total.

Additional Course Fee: $25.00"
"ENGL","220","CONTEMPORARY FICTION","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","220  CONTEMPORARY FICTION    3(3-0)

Central themes and fictional approaches evident in contemporary fiction.

Prerequisites: ENGL101 (may  be taken concurrently)"
"BUSA","213","COST ACCOUNTING I","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","213 COST ACCOUNTING I   3(3-0)

Emphasizes cost accounting procedures in manufacturing. Major topics include activity-based costing, job order costing, process costing, budgeting, transfer pricing, cost behavior, and variance analysis.

Prerequisites: BUSA 202"
"BUSA","214","COST ACCOUNTING II","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","214 COST ACCOUNTING II   3(3-0)

Continuation of Cost Accounting I (BUSA 213).  Major topics include budgeting procedures, flexible budget, standard costs, gross profit analysis, direct costing, break even analysis, differential and comparative cost, capital budgeting and control, profit performance measurements and linear programming.

Prerequisites: BUSA 213"
"ENGL","217","CREATIVE WRITING","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","217  CREATIVE WRITING    3(3-0)

Imaginative writing, i.e., writing of original poetry, fiction, drama, and creative non-fiction (memoir).   Study and application of specific techniques in each genre.  Conducted on workshop basis.  Students expected to produce a portfolio of finished pieces in the four genres.

Prerequisites: ENGL101 (may be taken concurrently)
"
"CAEL","150","CREDIT FOR EXP LRNG PORTFOLIO","1","-","-","-","1","-","-","-","1","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","150, CREDIT FOR EXPERIENTIAL LEARNING PORTFOLIO Fall, Spring, Summer     FEE 1 (1-0)

This course is designed to provide an expedited introduction and overview to Prior Learning Assessment (PLA) portfolio development. This course will utilize readings, structured activities, and procedural documentation to help students demonstrate comprehension and appreciation of life/work experiences and how those relate to acquire learning. Upon the completion of the course, students will be able to submit a final portfolio for college credit evaluation based on the work completed throughout the course. A grade of C or better in this course is necessary to submit portfolio for additional course credit.  This course is offered in collaboration with the Credit for Adult and Experiential Learning.

Prerequisites:  ENGL 101, Approval from lead instructor or Department Chair.
"
"CRIM","205","CRIMINAL INVESTIGATIONS","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","205 CRIMINAL INVESTIGATIONS   3 (3-0)

Learn modern criminal investigation principles and practices, and observe and apply investigative techniques in a classroom setting.

Prerequisites: None"
"CRIM","203","CRIMINAL JUSTICE SKILLS","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","203 CRIMINAL JUSTICE SKILLS   3 (3-0)

An introduction to many of the skills needed in the fields of law enforcement and corrections. This is a hands-on class that will require students to participate in introductory skills such as interviewing, handcuffing, use of force, traffic stops, warrant arrests, and physical fitness entry exams. 

Prerequisites: None

Additional Course Fee: $20.00"
"CRIM","202","CRIMINAL LAW","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","202 CRIMINAL LAW   3 (3-0)

A study of substantive criminal law. Includes the study of constitutional limitations and protections, classification of crimes, elements of specific crimes, and defenses to crimes. Also incorporates the study of some Michigan criminal laws.

Prerequisites: None"
"CRIM","252","CRIMINAL PROCEDURES","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","252 CRIMINAL PROCEDURES   3 (3-0)

Study of Anglo-American system for detecting, proving and punishing perpetrators of crime. Legal protection of citizens from improper searches, arrests and coerced confessions by constitution, statute and case law. Rules of evidence in assisting judicial search for truth covered.

Prerequisites: None"
"CRIM","201","CRIMINOLOGY","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","201 CRIMINOLOGY   3 (3-0)

Nature and development of criminal behavior. Emphasis on examination of leading theories concerning cause of crime, nature of criminal offender and treatment of convicted offenders. Public reaction to crime reviewed.

Prerequisites: None"
"CULI","200","CULINARY MANAGEMENT INTERNSHIP","1","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","200 CULINARY MANAGEMENT INTERNSHIP   1 (0-2)

Students will complete an internship in a variety of culinary settings recommended by the internship coordinator site that meets or exceeds American Culinary Federation Accreditation Criteria for a minimum of 400 documented hours. Hotels, restaurants, and catering companies are only a few of many establishments expected to be an internship site. Students must meet with Culinary Program faculty prior to enrollment.

Prerequisites: CULI 220 or CULI 280"
"CHDV","112","CURR & ASSESS FOR YOUNG CHILD","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","112 CURRICULUM AND ASSESSMENT FOR YOUNG CHILDREN   3 (3-0)

This course provides an overview of the planning, preparation, and delivery of a developmentally appropriate curriculum for young children. Students will plan, implement, and assess multiple lessons supporting the development of the whole child. This course will include 10 hours of observation and involvement in diverse early childhood settings. Students will teach created lessons to children in area child care and preschool settings using Michigan’s Early Childhood Standards of Quality Early Learning Expectations in their curriculum planning and program evaluation. Note: This course is not a part of the Teacher Education programming sequence.

Prerequisites: None"
"CHDV","213","CURR ISSUES & ADVOC IN ELCH","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","213 CURRENT ISSUES AND ADVOCACY IN THE EARLY CHILDHOOD FIELD   3 (3-0)

This course explores current issues in the field of early childhood and assists students in forming research-based responses to these issues. Current topics that will be addressed include child health risks, media and technology, child abuse and neglect, working with a diverse population of families, quality in childcare, kindergarten readiness, and recent brain research. Students will also learn strategies for advocating on critical issues that affect young children and their families. 

Prerequisites: CHDV 110 and 111 and 112 and 113"
"NURS","289","CURRENT ISSUES IN NURSING","1","-","-","-","1","-","-","-","1","-","-","-","1","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","289 CURRENT ISSUES IN NURSING		SPRING		1 (1-0)

Current Issues in Nursing is a capstone class intended to expand on the socialization of the student into the role of a professional nurse. Contemporary trends and issues in nursing are discussed with a brief historical perspective. Scope of Practice, Code of Ethics, and legal issues are presented and discussed as they apply to current nursing and healthcare issues. Licensure, professional organization membership, employability skills, levels of educational preparation for nursing, and an emphasis for lifelong learning complete the preparation for the professional role. Acceptance into the Nursing Program or permission of the Instructor/Nursing Program Director is required.

Prerequisites: E, M, R, MATH 122/123, CHEM 104, BIOL 205, BIOL 206, ENGL 101, ENGL 102, PSYC 201, NURS 130, NURS 135, NURS 180, NURS 185, NURS 186, and NURS 187"
"NURS","288","CURRENT ISSUES IN NURSING","1","-","-","-","1","-","-","-","1","-","-","-","1","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","288  CURRENT ISSUES IN NURSING   1(1-0)

Contemporary trends and issues in nursing practice are discussed with a brief historical perspective. Transitioning the student to professional practice, advanced education, lifelong learning, and ethical and legal issues are presented. 

Prerequisites: NURS 290 and 291 and 292"
"CRIM","204","CURRENT ISSUES IN POLICING","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","204 CURRENT ISSUES IN POLICING   3 (3-0)

History, philosophy and mechanics of several elements that comprise the criminal justice system. Related responsibilities and vocational opportunities are discussed. Designed to introduce students to criminal justice system.

Prerequisites: None"
"BUSA","117","CUSTOMER COMMUNICATION","1","-","-","-","1","-","-","-","1","-","-","-","1","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","117    CUSTOMER COMMUNICATION   1(1-0)

Effective communication skills are the basis of customer service programs.  Students learn active listening skills, assertive verbal communication and the impact of non-verbal language in the communication process and how to write policies and procedures that support quality customer services.

Prerequisites: BUSA 103"
"ELEC","100","D. C. ELECTRICITY","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","100 DC ELECTRICITY   3 (2-2)

Fundamentals of Direct Current (DC) electricity. Concepts include voltage, current, resistance, power, Ohm's Law, electromagnetism and identification, operation and characteristics of passive components. Circuit analysis introduced using Ohm's and Kirchoff's Voltage and Current Laws involving series, parallel and compound circuits. Circuit construction from schematics and use of basic test equipment in lab.

Prerequisites: None

Additional Course Fee: $25.00"
"CIS","244","DATA ACQUISITION & PREPARATION","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","244 DATA ACQUISITION &amp; PREPARATION     3 (2-2)

This course introduces data wrangling. Students will learn how to transform raw, messy data into structured formats ready for analysis. Key topics include data acquisition, quality assessment, and feature engineering. Using tools like Pandas and SQL, participants will gain practical skills in cleaning and preparing datasets, ensuring the data is accurate and comprehensive for subsequent analysis and modeling work.

Prerequisites: CIS 180

Additional Course Fee: $30.00"
"CIS","202","DATA REPORTING & ANALYSIS","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","202 DATA REPORTING & ANALYSIS   3(3-0)

This course is designed to give students comprehensive skills and in-depth knowledge to plan, design, and deliver business reports that will help management analyze and interpret complex business information. Business report solutions that range from personal productivity software to full-scale reporting systems will be studied.

Prerequisites: CIS 100

Additional Course Fee: $30.00
"
"BUSA","222","DATA REPORTING AND ANALYSIS","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","222 DATA REPORTING AND ANALYSIS   3 (3-0) 

This course is designed to give students comprehensive skills and in-depth knowledge to plan, design, and deliver business reports that will help management analyze and interpret complex business information. Business report solutions that range from personal productivity software to full-scale reporting systems will be covered. 

Prerequisites: CIS 100"
"CIS","246","DATA VISUALIZATION","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","246 DATA VISUALIZATION     3 (2-2)

This course focuses on transforming data insights into compelling visual stories. Students will learn to use tools like Matplotlib, Tableau and PowerBI to design effective visualizations and create interactive dashboards. The course stresses the importance of storytelling, critical evaluation, and audience consideration, enabling students to present data-driven insights that engage and inform diverse audiences.

Prerequisites: CIS 180

Additional Course Fee: $30.00
"
"CIS","111","DATABASE SYSTEMS","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","111 DATABASE SYSTEMS   FALL  FEE  3 (3-0)
This course introduces the basics of database management and the SQL language by implementing simple databases. Tasks include creating, querying, sorting, indexing, and manipulating a database file and generating reports and labels. Normalization techniques will also be introduced. Students will create custom screens, work with multiple database files, forms, and report structures to demonstrate understanding of the knowledge and skills acquired in this course. Commercial software will be used. This course prepares students for industry certification exam(s).
Prerequisite(s): E, M, R"
"CIVL","110","DENSITY CERTIFICATION","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","110 DENSITY CERTIFICATION   2 (2-0)

Students will study techniques and equipment used in determining properties of aggregates, concrete and other materials. Each student will receive a density certification card after successfully completing the course.

Prerequisites: None"
"DENT","163","DENT ASSISTING FUNDAMENTALS I","6","-","-","-","8","-","-","-","8","-","-","-","3","-","-","-","6","-","-","-","-","-","-","-","-","-","-","-","163 DENTAL ASSISTING FUNDAMENTALS I   6 (3-6)

This is an introductory course to the basic skills of entry-level dentistry. Students will learn dental equipment, dental instruments, sterilization procedures and patient vital signs. Students will also learn dental materials and other dental assisting procedures.

Prerequisites: DENT 170"
"DENT","164","DENT ASSISTING FUNDAMENTALS II","6","-","-","-","9","-","-","-","9","-","-","-","3","-","-","-","6","-","-","-","-","-","-","-","-","-","-","-","164 DENTAL ASSISTING FUNDAMENTALS II   6 (3-6)

This course is a continuation of Dental Assisting Fundamentals I. Students will learn how to recognize specific oral conditions, perform laboratory procedures, assist with orthodontics and other chairside functions, and determine appropriate dental assisting techniques and patient instruction for proper dental care.

Prerequisites: DENT 174"
"DENT","177","DENTAL ASSISTING CLINICAL","3","-","-","-","24","-","-","-","3","-","-","-","0","-","-","-","24","-","-","-","-","-","-","-","-","-","-","-","177 DENTAL ASSISTING CLINICAL   3 (0-24)

This course provides an opportunity for students to demonstrate their competence in performing chairside assisting functions in a licensed dental office or clinical setting. All students will be required to perform 300 hours of supervised dental assisting tasks including expanded functions. Students will also complete a board review in preparation for the National Board CDA examination and professional activities. 

Prerequisites: DENT 170 and DENT 174"
"DENT","170","DENTAL OFFICE MANAGEMENT","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","170 DENTAL OFFICE MANAGEMENT   3 (3-0)

This course introduces students to the administrative aspects of the dental office. Students will learn how to use scheduling software, inventory control, insurance processing, and professional preparation of patient communication.

Prerequisites: HEAL 160 and HEAL 202 and BIOL 107 or 110 (all may be taken concurrently)

Additional Course Fee: $50.00"
"MATH","252","DIFFERENTIAL EQUATIONS","4","-","-","-","4","-","-","-","4","-","-","-","4","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","252  DIFFERENTIAL EQUATIONS &amp; LINEAR ALGEBRA  4(4-0)

Explores both ordinary differential equations and linear algebra concepts.  Topics include equations separable equations, homogeneous equations, exact equations, integrating factors, linear equations with constant coefficients, simultaneous linear equations using matrix concepts, properties of vector spaces and Laplace transformations.  Applications to physics and engineering.

Prerequisites: MATH 201 or MATH 202"
"BUSA","154","DIGITAL ANALYTICS","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","154 DIGITAL ANALYTICS   3 (3-0)

Provides a streamlined approach to analyzing the results of online efforts – how to make sense of the data and use it to solve marketing problems. Explores how to: create and implement digital media through various marketing channels (social, blogs, podcasts, streaming, OTT, SEO display ads, websites, etc.) that attract and engage visitors, determine what to measure, understand the why behind the numbers, and deliver on digital campaign goals.

Prerequisites: None"
"ELEC","210","DIGITAL ELECTRONICS","4","-","-","-","4","-","-","-","4","-","-","-","0","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-"
"ELEC","113","DIGITAL ELECTRONICS","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","113 DIGITAL ELECTRONICS   3 (2-2)

Study of basic building blocks of modern digitally operated electronic equipment, operation of digital logic gates, number systems, flip-flops, TTL/CMOS, ripple counter, synchronous counter, shift register and other sequential logic operations. Various digital equipment, basic, computer operations, and troubleshooting included.

Prerequisites: ELEC 100, ELEC 106

Additional Course Fee: $25"
"CIS","215","DIGITAL FORENSICS","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","215 DIGITAL FORENSICS   3 (2-2)

This course surveys the technical knowledge of the operating system (OS) that any digital forensic analyst should know to examine digital media. The course focuses on collecting and analyzing data from an OS to provide information that can be used for both civil and criminal litigation. User based activity and software/hardware artifacts are analyzed along with acquisition of digital media in various OS environments.

Prerequisites: CIS 156 and CIS 170"
"BUSA","152","DIGITAL MARKETING","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","152 DIGITAL MARKETING   3 (3-0)

Explores actionable tips and techniques that can be transferred from the classroom to small or large businesses. Provides an understanding of how to: 1) develop a DM plan aligned with overall business strategy; 2) select the best DM tactics to drive business results; 3) measure a DM campaign to assess effectiveness and set priorities. Examines targeted content, social media, digital ads, search engine optimization, websites, mobile marketing, and analytics. 

Prerequisites: None"
"GRDN","101","DIGITAL STUDIO I","3","-","-","-","6","-","-","-","0","6","-","-","2","-","-","-","4","-","-","-","-","-","-","-","-","-","-","-","101 DIGITAL STUDIO I   3 (2 - 4)

This course focuses on developing the skills necessary for producing print-ready communications: graphic design principles, visual comps, print production development, project management skills (e.g. interviewing and scheduling, peer review and revision). Project activities focus on developing effective communications that can be deployed in print, on the web, or in a video. Students develop a variety of graphics, a logo, a business card, and a client advertisement. Students produce supporting design documents and visual comps that clients review. The semester culminates with a portfolio project during which students reflect on the skills and topics covered thus far and begin to explore the career areas that interest them in design.

Prerequisites: None

Additional Course Fee: $15.00
"
"GRDN","220","DIGITAL STUDIO II","3","-","-","-","6","-","-","-","6","-","-","-","2","-","-","-","4","-","-","-","-","-","-","-","-","-","-","-","220	Digital Studio II   3(2 - 4)

This class builds on the design and development skills of Digital Studio I by focusing on longer projects as well as more in-depth content and advanced computer techniques. Students continue to work in teams producing communications such as: brochures, newsletters, annual reports. They develop graphic and print production skills that solve specific communication challenges for clients and audiences. They build technical skills to address project needs and track complex projects. Students culminate with a portfolio redesign using themselves as the client and their next step as designers determining the audience. Previous relevant experience can serve as course prerequisites with permission of the instructor.

Prerequisites: ART 109 and GRDN 101
"
"CIS","275","DISASTER RECOVERY","3","-","-","-","4","-","-","-","4","-","-","-","2","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","275 DISASTER RECOVERY   3 (2-2)This course will provide an overview of characteristics of disasters, their impact on population, infrastructure, economy, and disaster management cycle. Topics include the role, organization, and management of business continuity planning in planning for and surviving the impact of disaster, continuing to operate to serve clients or customers, and rapidly recovering to full operations. Other areas of interest include the business impact analysis process, how to manage it, and how to use the analysis as the first step in business continuity plan development.Prerequisite: CIS 156"
"BUSA","261","DISTRIB. ED. CO-OP I","3","-","-","-","16","-","-","-","3","-","-","-","1","-","-","-","15","-","-","-","-","-","-","-","-","-","-","-","261 DISTRIBUTIVE EDUCATION CO-OP I   3(1-15)

Classroom and supervised on-the-job training in approved jobs obtained in retailing, wholesaling, marketing, or service outlets. Includes classroom lectures, research and work experience in related business organization. Requires minimum 15 hours of work per week. Application must be placed with coordinator to participate in class.

Prerequisites: None

Additional Course Fee: $35.00"
"BUSA","262","DISTRIB. ED. CO-OP II","3","-","-","-","16","-","-","-","3","-","-","-","1","-","-","-","15","-","-","-","-","-","-","-","-","-","-","-","262 DISTRIBUTIVE EDUCATION CO-OP II   3(1-15)

Requires minimum 15 hours of work per week. Application must be placed with coordinator to participate in class.

Prerequisites: None

Additional Course Fee: $35.00"
"CHDV","211","DIVERSITY IN EARLY CHILD EDUC","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","211 DIVERSITY IN EARLY CHILDHOOD EDUCATION   3 (3-0)

Diversity can have a profound influence on children’s development and learning. Students in this course explore areas of diversity, including developmental and learning needs, sexuality, ethnicity as well as the impact of living in poverty. Students will reflect on their own prejudices and biases and become aware of how messages of bias are passed on to children. Students will learn how to create an environment that fosters an appreciation of diversity, recognizes unfairness, and develops skills to act against prejudice. 

Prerequisites: CHDV 110 and 111 and 112 and 113"
"ART","122","DRAWING I","3","-","-","-","6","-","-","-","6","-","-","-","0","-","-","-","6","-","-","-","-","-","-","-","-","-","-","-","122  DRAWING I     3(0-6)

Explores the fundamentals of drawing.  Investigation of the elements of design and other ideas underlining a successful drawing.  Includes drawing portraits.  Required for Art majors.

Prerequisites: None

Additional Course Fee: $50.00"
"ART","112","DRAWING I","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","4","-","-","-","-","-","-","-","-","-","-","-","112 DRAWING I     2(0-4)

Fundamentals of drawing.  Investigation of elements of composition and ideas underlining a successful drawing.  Includes drawing from various subjects, portraits, etc.  

Prerequisites: None"
"ART","123","DRAWING II","3","-","-","-","6","-","-","-","6","-","-","-","0","-","-","-","6","-","-","-","-","-","-","-","-","-","-","-","123  DRAWING II   3(0-6)

Continued study in drawing.  Emphasis on development of personal expression through use of line and value.  Required for Art majors.

Prerequisites: ART 122

Additional Course Fee: $50.00"
"ART","113","DRAWING II","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","4","-","-","-","-","-","-","-","-","-","-","-","113 DRAWING II   2(0-4)

Continued study in drawing with emphasis on development of personal expression through use of line and value.  Media include charcoal, ink washes, etc.  Required for Art majors.

Prerequisites: ART 112"
"EAP","093","EAP READING","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","093 EAP READING  3 (3-0)

This is an advanced language course with the primary goal for ESL students to develop reading strategies that enable them to read and comprehend academic materials. Students will learn reading strategies that enable them to engage and react to different text forms and topics that are both concrete and abstract in nature. Through in-class exercises and a variety of assignments, students learn to use reading skills to infer, analyze and respond to a text in a classroom setting. A focus on academic vocabulary is an important component in the course. Additional projects will include a novel study and/or independent reading. Students must speak English as a second or additional language. 

Prerequisites: Accuplacer ESL 80-110 OR overall TOEFL iBT score of 35-59 and/or a subskill score of 4-14 for the Reading section OR overall TOEFL ITP score of 430-499 OR overall IELTS score of 5.0 or 5.5 and/or a subskill score of 5.0 or 5.5 for IELTS Reading OR overall MET score of 38-45; overall Pearson PTE score of 35-45"
"EAP","092","EAP SPEAKING AND LISTENING","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","092 EAP SPEAKING AND LISTENING 3 (3-0)

This advanced language course helps ESL students sharpen their listening comprehension skills by teaching them how to prepare for and listen to academic lectures while at the same time acquiring a variety of techniques for taking notes that will promote retention of the material. Additionally, the course focuses on expansion of academic vocabulary and academic discussion skills and strategies to help students gain confidence in their English speaking skills when interacting with classmates, instructors, and support staff. Students must speak English as a second or additional language. 

Prerequisites: Accuplacer ESL 80 OR TOEFL iBT Exam- Overall score: 35-59 and Listening: 4-14 and Speaking 14-17 OR TOEFL ITP: 417-500 OR IETLS Exam 5.0-5.5 OR MET Overall score: 38-45 OR Pearson PTE score of 35-45"
"CHDV","210","EARLY LITERACY","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-"
"MATH","152","EARLY MATHEMATICAL REASONING","3","-","-","-","3","-","-","-","3","-","-","-","3","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","152 EARLY MATHEMATICAL REASONING   3(3-0)

Young children are naturally curious about how numbers work. In this course we will discuss ways that teachers can build off of that natural intuition to develop children’s ability to count and represent their count, decompose and recompose numbers, and reason using numerical properties.  We will also consider how children first identify and describe shapes and discuss ways that teachers can utilize hands-on, exploratory activities to foster the development of that thinking by encouraging them to characterize, sort, and classify shape according to important attributes.  

Prerequisites: ENGL 101 (may be taken concurrently) and MATH 123 or equivalent minimum test score: ACT Math 23, SAT Math 550 (section), SAT Math 27.5, or Accuplacer Advanced Algebra 237"
"PHSC","190","EARTH SCI FOR ELEM/MID SCH TCH","3","-","-","-","5","-","-","-","5","-","-","-","2","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","190 EARTH SCIENCE FOR ELEMENTARY/MIDDLE SCHOOL TEACHERS I    Fall     3(2-3)

A laboratory-based earth science course designed for pre-service elementary and middle school teachers. The intent of this course is to acquaint future teachers with the important concepts of earth science, and to provide the basic tools of independent, creative inquiry that teachers can take into the classroom.  Emphasis will be given to study of the oceans, climate, weather, solar system, and space.  This course will explore the practice of science by incorporating inquiry-based activities into the pedagogy.  This course is specifically designed to transfer to Western Michigan University's Elementary Education program and may not transfer to other institutions.

Prerequisites:  E,M,R"
"PHSC","290","EARTH SCI FOR ELEM/MID TEACHER","3","-","-","-","5","-","-","-","5","-","-","-","2","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","290  EARTH SCIENCE FOR ELEMENTARY/MIDDLE SCHOOL TEACHERS II  Fall     3(2-3)

The second of a two course laboratory-based earth science course designed for preservice elementary and middle school teachers.  The intent of this course is to acquaint future teachers with the important concepts of earth science, and to provide the basic tools of independent, creative inquiry that teachers can take into the classroom.  Emphasis will be given to study the geology of Earth.  This course will explore the practice of science by emphasizing inquiry-based activities.  This course is specifically designed to transfer to Western Michigan University's Elementary Education program and may not transfer to other institutions.  

Prerequisites: E,M,R"
"EDUC","201","EDUC. RESEARCH & ASSESSMENT","3","3","-","-","3","3","-","-","3","3","-","-","3","3","-","-","0","0","-","-","-","-","-","-","-","-","-","-","201 EDUCATIONAL RESEARCH ASSESSMENT

This introductory course covers the fundamental principles, techniques, and ethical considerations related to educational research and assessment. Students will explore the action research cycle and learn how to ethically use empirical evidence and assessments to guide practice. It is strongly advised that students complete a research methods or statistics course before enrolling in this course.

Prerequisites: EDUC 101"
"TRIN","129","ELECTRICAL CODE STUDY","2","-","-","-","2","-","-","-","2","-","-","-","2","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","129  ELECTRICAL CODE STUDY    2(2-0)

Interpretation and application of State and National Electrical Code. 

Prerequisites: None"
"ELEC","152","ELECTRICAL MOTOR CONTROLS II","2","-","-","-","3","-","-","-","3","-","-","-","1","-","-","-","2","-","-","-","-","-","-","-","-","-","-","-","152  ELECTRICAL MOTOR CONTROLS II   2(1-2)

Course will continue to build upon knowledge and skills obtained in ELEC 151 (Transformers, Motors and Controls), with a focus on advanced principles and applications of motor control common in the electrical industry. Students will develop and interpret complex ladder diagrams. Students will be introduced to the operation and use of programmable logic controllers (PLCs) and variable frequency drives (VFDs) in motor control. Students will complete lab exercises to provide a hands-on learning experience to establish relationships between the theory and practical application of the material presented. 

Prerequisites: ELEC 151

Additional Course Fee: $25.00"
"ARB","101R","ELEMENTARY ARABIC I","5","-","-","-","5","-","-","-","5","-","-","-","5","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","101R ELEMENTARY ARABIC I    5(5-0) 

Introduction to the basic alphabet, grammar, pronunciation and vocabulary of the Arabic language. Listening, speaking, reading and writing skills. This course is delivered through a partnership with Rio Salado College.

Prerequisites: none"
"ARB","102R","ELEMENTARY ARABIC II","5","-","-","-","5","-","-","-","5","-","-","-","5","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","102R ELEMENTARY ARABIC II   5 (5-0) 

A continuation of ARB101R. Continued study of grammar and vocabulary, with emphasis on pronunciation and speaking skills. This course is delivered through a partnership with Rio Salado College.

Prerequisites: ARB 101R"
"CHI","101R","ELEMENTARY CHINESE I","5","-","-","-","5","-","-","-","5","-","-","-","5","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","101R ELEMENTARY CHINESE I   5 (5-0) 

Introduction to the basic grammar, pronunciation, and vocabulary of the Mandarin Chinese language. Includes the study of Chinese culture, practice of listening, speaking, reading, and writing skills. This course is delivered through a partnership with Rio Salado College.

Prerequisites: None"
